;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;
                                                                                                                                             Ölkə üzrə;;;;;;;;;;;;;;;;;;;;;;;;
1961-1990-ci illər üzrə orta çoxillik yağıntıların miqdarı;479,5;;;;;;;;;;;;;;;;;;;;;;;
Yağıntıların orta illik miqdarı;540,3;587,8;548,9;407,1;462,0;458,0;443,1;571,2;499,8;605,8;457,9;453,0;387,7;472,6;570,7;393,6;436,1;391,4;445,5;381,1;371,0;481,2;;
Orta illik yağıntıların orta çoxillikdən fərqi ;60,8;108,3;69,4;-72,4;-17,5;-21,5;-36,4;91,7;20,3;126,3;-21,6;-26,3;-91,8;-6,9;91,2;85,9;-43,4;-88,1;-43,4;-98,4;-108,5;1,7;;
                                                                                                                                         Bakı şəhəri  üzrə;;;;;;;;;;;;;;;;;;;;;;;;
1961-1990-ci illər üzrə orta çoxillik yağıntıların miqdarı;234,7;;;;;;;;;;;;;;;;;;;;;;;
Yağıntıların orta illik miqdarı;420,2;372,2;342,1;257,1;242,2;273,6;325,4;251,0;402,7;545,5;346,3;381,0;285,2;340,8;477,6;352,6;232,1;285,7;308,1;256,5;229,2;175,1;;
Orta illik yağıntıların orta çoxillikdən fərqi ;185,5;122,5;107,4;-22,4;7,5;38,9;90,7;21,3;168,0;310,8;111,6;146,6;50,5;106,1;242,9;117,9;-2,6;5,1;73,4;21,8;-5,5;-59,6;;
Ən yüksək (max) orta aylıq yağıntıların miqdarı;184,0;67,7;65,1;78,0;125,2;66,2;97,2;57,4;88,5;140,4;70,3;69,9;70,4;70,6;138,1;118,9;62,1;79,3;126,1;60,4;46,8;35,5;;
Ən aşağı (min) orta aylıq yağıntıların miqdarı;0,0;2,0;0,0;0,4;0,0;0,0;4,0;0,4;0,0;0,7;0,0;5,2;0,7;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;1,6;;
                                                                                                                                          Gəncə şəhəri  üzrə;;;;;;;;;;;;;;;;;;;;;;;;
1961-1990-ci illər üzrə orta çoxillik yağıntıların miqdarı;286,9;;;;;;;;;;;;;;;;;;;;;;;
Yağıntıların orta illik miqdarı;283,2;330,9;310,4;263,2;298,9;259,4;241,0;268,5;267,5;281,2;170,3;192,0;305,5;272,6;331,4;246,2;215,4;156,3;191,1;251,5;176,0;246,7;;
Orta illik yağıntıların orta çoxillikdən fərqi ;-3,4;44,0;23,5;-23,7;12,0;-27,5;-45,9;-18,4;-19,5;-5,7;-116,6;-94,8;-18,6;-14,3;44,5;-40,7;-71,5;-130,6;-95,8;-35,4;-110,9;-40,2;;
Ən yüksək (max) orta aylıq yağıntıların miqdarı;83,0;59,9;51,9;53,9;60,5;39,9;47,1;59,1;59,1;50,5;33,9;36,7;81,0;78,6;45,8;49,3;39,7;44,1;59,0;46,8;42,6;84,8;;
Ən aşağı (min) orta aylıq yağıntıların miqdarı;2,0;5,5;1,0;4,1;0,0;0,0;9,1;1,5;0,0;1,1;3,4;4,8;0,0;2,5;3,1;1,0;2,5;0;0,9;2,4;1,7;0,4;;
;;;;;;;;;;;;;;;;;;;;;;;;
